,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
0, The Darling Pizzeria ,Australia,13.167,4.95,3977,40,3.89
1, Metro Pita Kebab ,Australia,0,2.3034,840,40,4.27
2, Metro Thai ,Australia,0,3.2934,6,35,5.22
3, BP - Randwick ,Australia,0,0.6534,28,35,4.06
4, Naanstop On Norton ,Australia,0,3.2934,5,35,5.27
5, Rocky Poke Bowl ,Australia,0,2.6334,99,40,4.31
6, Craft Gozleme ,Australia,0,2.6334,15,35,3.62
7, Hand Stretched Pizza ,Australia,0,2.6334,92,35,3.07
8, The One Dim Sim ,Australia,0,3.9534,4,35,3.75
9, Lamb Marinade ,Australia,0,3.9534,14,35,4.69
10, EzyMart - Darlinghurst ,Australia,0,0.6534,13,35,3.28
11, Hangry Tomato ,Australia,0,3.2934,20,50,3.28
12, My Burger Baby ,Australia,0,3.9534,3,40,6
13, My Italian Baby ,Australia,0,3.9534,1715,50,5.29
14, Bangkok on Botany ,Australia,16.5,0,1051,60,3.82
15, McDonald's - St Peters ,Australia,0,2.3034,3,35,6
16, Seafood Connect ,Australia,0,3.2934,2762,35,4.53
17, Maya Da Dhaba ,Australia,23.1,0,1,40,1
18, Absurd Bird - Ultimo ,Australia,0,3.2934,1339,35,4.96
19, Arancini Pizza & Pasta Marrickville ,Australia,13.2,0.9834,860,30,4.8
20, Seasoning Thai ,Australia,16.5,0,619,45,5.2
21, IGA - Enmore ,Australia,0,0.6534,1345,35,4.09
22, Urban Thai Sydney ,Australia,13.2,,2,45,6
23, Guzman y Gomez - GYG - UNSW ,Australia,0,3.9534,1373,35,5.11
24, Sam The Brownie Man ,Australia,0,3.2934,1,50,3.33
25, Charles Thai ,Australia,13.2,0,1240,35,4.23
26, Pide On Enmore ,Australia,0,1.9734,3,60,4.11
27, KFC - Rockdale ,Australia,0,5.907,2259,40,4.78
28, Vina Bakehouse - Randwick ,Australia,0,3.2934,717,35,5.26
29, Indian Leaf ,Australia,19.8,1.914,3,50,4.44
30, The Alley Duong Hem ,Australia,0,1.6434,3176,40,4.98
31, Wu Dou Mi ,Australia,0,3.2934,1618,35,4.9
32, Manoosh Pizzeria ,Australia,13.2,3.63,1,55,3.67
33, Doytao Thai Newtown ,Australia,13.2,0,981,35,4.54
34, Killiney Kopitiam - Broadway ,Australia,0,3.2934,968,35,5.26
35, Grill'd - Leichhardt ,Australia,0,3.9534,541,40,5.33
36, Ladda's the Thai Takeaway ,Australia,16.5,0,214,45,5.23
37, Oriental Supermarket ,Australia,0,0.6534,63,35,4.62
38, Pizza Deli ,Australia,13.2,,407,50,5.4
39, Ms Dumpling (Ex Dumpling Queen) ,Australia,0,3.2934,389,35,5.12
40, Alex's Mini Mart ,Australia,0,0.6534,305,35,4.51
41, Chubby Buns Burgers - Rockdale ,Australia,0,3.2934,445,35,4.69
42, Tentaciones Colombian Cusine ,Australia,0,3.2934,218,35,4.46
43, Maggies Thai ,Australia,13.2,,2,45,4.34
44, I AM FO CAFE ,Australia,0,1.9734,756,35,4.55
45, Yum Yai ,Australia,13.2,0,371,45,5.04
46, Le Monde Cafe ,Australia,0,0,129,60,4.63
47, Mad Mex - Maroubra ,Australia,0,3.2934,1,35,1
48, Teaser Sydney - Central Park ,Australia,0,2.6334,156,40,5.26
49, Mad Toppings - Randwick ,Australia,0,2.9634,82,40,4.16
50, Crust Pizza - Alexandria ,Australia,16.5,,349,45,4.8
51, Zhengxin Big Fried Chicken - Ultimo ,Australia,0,3.2934,61,35,3.72
52, Rocketboy Pizza - Newtown ,Australia,13.2,2.31,39,35,5.24
53, Thailicious ,Australia,13.2,0,53,45,5.26
54, Ogalo - Kensington ,Australia,0,3.2934,547,35,4.8
55, Tea Tube - Broadway ,Australia,0,3.2934,24,55,5.36
56, Deans Diner ,Australia,0,1.3134,504,50,4.82
57, Subway - Botany ,Australia,0,3.9534,36,35,3.84
58, Mistura Latin Quarter ,Australia,0,0.6534,417,45,4.14
59, Brothers Kebabs and Burgers ,Australia,0,2.9634,616,50,4.58
60, Couchfood - Canterbury - Powered by BP ,Australia,0,0.6534,52,35,4.24
61, Charlie Chan's ,Australia,0,3.2934,13,40,4.62
62, Troy Kebab ,Australia,0,3.2934,449,40,5.5
63, Nakhon Thai ,Australia,0,2.9634,854,50,5.08
64, Bakers Delight - Glebe ,Australia,0,0.6534,286,40,5.26
65, Newtown North Indian Diner ,Australia,0,2.3034,188,35,4.78
66, Broaster Chicken - Newtown ,Australia,0,1.9734,2428,20,4.92
67, Oporto - Earlwood ,Australia,0,3.2934,91,40,4.84
68, Student Biryani - Surry Hills ,Australia,0,2.9634,449,40,4.91
69, Ultra Convenience - Randwick ,Australia,0,0.6534,237,45,4.79
70, Pagewood Hotel Rex Bistro ,Australia,0,3.2934,718,40,4.04
71, Dulwich Hill Chicken Shop ,Australia,0,2.9634,20,40,4.92
72, VN Street Foods ,Australia,0,2.9634,183,45,5.18
73, Itsumo Sushi ,Australia,0,1.9734,34,40,3.75
74, Noodle Star - Surry Hills ,Australia,0,2.9634,238,40,4.88
75, ARANCINI PIZZA AND PASTA - (Waterloo) ,Australia,0,1.9734,128,40,5.28
76, Burger 10 - Randwick ,Australia,0,2.9634,120,35,5.2
77, Tandoori Hut - Enmore ,Australia,0,1.6434,14,35,3.17
78, Northern Chinese Family Restaurant - Waterloo ,Australia,0,2.3034,168,35,4.57
79, Hungry Jack's - Darlinghurst ,Australia,0,3.927,4,45,5.5
80, Happy Chef Noodle Bar ,Australia,0,3.2934,53,45,4.82
81, Arthur's Pizza - Rosebery ,Australia,16.5,2.574,223,45,4.94
82, The Hub Burger Bar ,Australia,0,2.9634,261,35,4.45
83, Curry Craze ,Australia,0,0.9834,184,45,4.89
84, Maroubra Saltwater Quality Seafood ,Australia,0,2.9634,1278,35,5.16
85, Boom Sushi Japanese Restaurant ,Australia,0,3.2934,5,45,3.47
86, Chatime - Wolli Creek ,Australia,0,2.6334,155,45,4.85
87, Himalaya Pakistani & Indian Cuisine - Randwick ,Australia,0,3.2934,441,45,4.54
88, Gotcha Fresh Tea - World Square ,Australia,0,3.9534,119,45,4.2
89, Botany Charcoal Chicken ,Australia,0,3.2934,336,35,5.14
90, Phoodle Eatery - Eastgardens ,Australia,0,2.9634,207,35,5.29
91, Ribs & Burgers - Eastgardens ,Australia,0,3.9534,122,45,4.87
92, Niji Sushi Bar ,Australia,0,3.2934,35,45,4.98
93, Pablo's Charcoal Chicken ,Australia,0,2.9634,11,40,4.39
94, Wellington on Danks ,Australia,0,2.3034,164,40,5.02
95, Page Two ,Australia,0,3.2934,115,45,4.98
96, Bombay Bloomers Indian Restaurant ,Australia,16.5,3.2934,17,40,4.47
97, Kebab On King ,Australia,0,2.3034,428,35,5.12
98, Bamboo Thai ,Australia,16.5,0,17,35,3.76
99, Mr Pide & Kebabs ,Australia,0,2.3034,16,40,4.92
100, Fishbowl - Newtown ,Australia,0,1.9734,7,35,3.67
101, IGA - Waterloo ,Australia,0,0.6534,38,35,5.07
102, Red Chilli Sichuan Restaurant ,Australia,0,3.2934,140,55,4.86
103, Marina Lunga Cucina - Marrickville ,Australia,0,3.2934,126,35,4.26
104, Fish n Chix - Eastgardens ,Australia,0,3.2934,12,35,3.86
105, No.1 Malatown - Mascot ,Australia,0,1.3134,230,35,4.89
106, Bento & Studio ,Australia,0,2.9634,316,35,4.07
107, Woolloomooloo Fish and Chips ,Australia,0,3.2934,20,40,4.77
108, Golden Bowl @ Alexandria ,Australia,0,1.3134,284,35,5.15
109, CHICCHIC Thai DAMN TASTY THAI FOOD ,Australia,0,3.2934,14,40,5.14
110, Kebab Time ,Australia,0,3.2934,433,35,4.62
111, Hot Dish ,Australia,0,1.3134,153,35,5.24
112, Super Bowl Chinese Restaurant ,Australia,0,2.9634,51,40,5.07
113, HOYTS - Broadway ,Australia,0,0.6534,17,35,3.86
114, Chicky Char Char ,Australia,0,0.6534,50,40,5.49
115, Pista House - Surry Hills ,Australia,0,3.2934,60,40,4.27
116, Tom Tom Kensington Noodle Bar ,Australia,0,3.2934,50,35,4.35
117, Papaya Thai Eatery ,Australia,13.2,0,36,35,3.77
118, Khao Kang Maruay ,Australia,0,3.2934,64,35,4.86
119, Epic Pizza ,Australia,0,2.9634,58,45,5.4
120, DK's Kebabs ,Australia,0,3.2934,1,35,3.33
121, Caysorn Thai ,Australia,0,3.2934,102,35,4.16
122, Get It Indiya - Eastgardens ,Australia,0,3.2934,11,45,5.09
123, Hot Rolls Vietnamese ,Australia,0,3.2934,48,45,4.47
124, Wingboy - Eastgardens ,Australia,0,3.9534,72,45,3.81
125, Naan House ,Australia,0,3.2934,83,45,4.71
126, Destination Roll - Mascot ,Australia,0,2.6334,61,35,4.58
127, Mascot Kebab Deli and Fried Broaster ,Australia,0,1.3134,17,45,4.73
128, Viet Rolls ,Australia,0,3.2934,95,45,4.15
129, Costi Seafoods ,Australia,0,3.2934,149,35,4.43
130, Bondi Pizza - Eastgardens ,Australia,0,3.9534,44,35,5.17
131, Pepper Seeds - South Eveleigh ,Australia,16.5,2.31,101,35,4.23
132, Rosebery Kebab House ,Australia,0,1.3134,589,35,4.32
133, Pizza Hut - Maroubra ,Australia,0,3.2934,2,40,6
134, O'le - Enmore ,Australia,0,1.9734,211,40,5.01
135, Patisserie Petunia Bakery & Cafe ,Australia,0,0.6534,4,40,5.83
136, Tea Struck - Marrickville ,Australia,0,3.2934,6,35,4.28
137, Zeus Street Greek - Broadway ,Australia,0,3.2934,12,45,4.47
138, New Chilli House (Dumpling King) ,Australia,0,3.2934,6,35,2.56
139, Indian Rasoi - Zetland ,Australia,0,1.9734,56,35,5.17
140, Hikaru Japanese Courtyard Restaurant ,Australia,0,2.3034,1721,35,4.4
141, Himalaya Pakistani Indian Restaurant - Surry Hills ,Australia,19.8,,5,35,5.2
142, Za'atar Bake ,Australia,0,2.6334,5,35,5.8
143, Northern Chinese Family Restaurant - Mascot ,Australia,0,1.6434,77,45,4.85
144, Gribbels Burgers - Marrickville ,Australia,0,3.2934,150,35,3.63
145, Chinese Private Kitchen ,Australia,0,3.2934,196,40,4.94
146, M Kebab & Snack Pack ,Australia,0,1.9734,50,35,4.67
147, Fast I-mart ,Australia,0,0.6534,5,40,4.47
148, Fez And Co ,Australia,0,3.2934,42,35,4.74
149, Wok Master Randwick ,Australia,0,2.9634,323,35,4.98
150, Maroubra Bakery ,Australia,0,3.2934,163,35,4.83
151, Abdul's Lebanese - Surry Hills ,Australia,0,1.9734,191,35,4.61
152, Mamaks Village - UNSW ,Australia,0,3.2934,76,35,4.69
153, Nando's - Broadway Shopping Centre ,Australia,0,3.2934,43,35,4.8
154, Open Korea ,Australia,0,2.9634,102,35,5.08
155, Clem's Chicken Shop ,Australia,0,1.9734,19,35,3.63
156, Terry's Grill - Waterloo - George Hotel ,Australia,0,1.3134,3,35,5.44
157, Erskineville Fish Chips And Takeaway ,Australia,0,1.3134,6,35,5.17
158, Dumpling & Noodle House Ultimo ,Australia,0,3.2934,13,35,3.36
159, Marilynas Pizza and Pasta Woollahra ,Australia,0,3.2934,1,35,2.67
160, Fish on Fire ,Australia,0,2.9634,6,35,5.67
161, Nikko Korean Cuisine ,Australia,0,2.9634,158,35,4.22
162, I Love Pizza - Surry Hills ,Australia,13.86,,1,35,3.33
163, Super Chef BBQ ,Australia,0,3.2934,3,40,5.89
164, Chinese Dumpling King ,Australia,0,1.3134,1,35,5.33
165, Meet Mica ,Australia,0,3.2934,36,35,5.27
166, Alevri - Dulwich Hill ,Australia,0,3.2934,2,35,3.5
167, Super Rice Bowl - Wolli Creek ,Australia,0,2.6334,32,35,5.23
168, Ocakbasi Meyhanee ,Australia,0,1.9734,103,35,4.71
169, Hippocrates Healthy Eatery - Brighton Le Sands ,Australia,0,3.2934,5,35,2.53
170, Schnitz - Broadway ,Australia,0,3.2934,4,35,3.75
171, Industrial Lunchbox ,Australia,0,1.9734,45,35,5.51
172, IKKAI - Sydney ,Australia,0,3.2934,3,35,5.22
173, Fresh Daily On Gordon ,Australia,0,0.6534,187,40,4.8
174, Xing Fu Tang - Sydney ,Australia,0,3.2934,18,40,4.41
175, Blackbird & Co ,Australia,0,0.6534,42,35,5.07
176, Euro Espresso Cafe ,Australia,0,3.2934,61,35,4.28
177, The Alley LuJiaoXiang - Haymarket ,Australia,0,3.2934,75,35,5.39
178, Yummy Palace Chinese Restaurant ,Australia,0,3.2934,27,50,5.49
179, Soul Origin - Maroubra Pacific Square ,Australia,9.9,0,1,35,6
180, Saigon Summer Streetfood - Newtown ,Australia,0,2.3034,8,35,4.33
181, KFC - Broadway Sydney FC ,Australia,0,3.2934,112,35,5.45
182, JKA sushi 233 ,Australia,0,1.3134,179,45,4.97
183, Meraki Coffee ,Australia,0,1.9734,2,35,5.5
184, Burger L Salad Bar ,Australia,0,0.6534,124,35,4.22
185, VN Street Food - Wolli Creek ,Australia,0,2.9634,468,40,3.87
186, Shanghai Fried Dumpling ,Australia,0,2.6334,327,35,4.84
187, CrystalMart Waterloo ,Australia,0,0.6534,1,35,2.33
188, Burger L ,Australia,0,1.3134,2,35,4.84
